product_id,name,main_category,sub_category,ratings,no_of_ratings,price (USD),cost (USD)
bx-92EB3M,Miss Ethnik Women's Georgette Semi Stitched Top With Unstitched Santoon Bottom and Faux Georgette Dupatta Embroidered Stra...,women's clothing,Clothing,3.7,146,26.0,14.4
bx-92FX1D,"MMOBIEL E-8000 Glue 50 ml - Strong Glue for All Purpose Repair Glue for Mobiles, Jewellery, Shoes and more - Transparent A...","tv, audio & cameras",All Electronics,3.8,590,10.0,3.3
bx-92GAZV,FUNDAY FASHION Women's Stylish Self-Design blouson fur Cotton Twill Jacket,women's clothing,Clothing,3.7,983,18.0,7.0
bx-92GNXQ,Chumbak Teal Travel Diaries Tote Bag - Navy,accessories,Bags & Luggage,4.2,54,22.0,6.1
bx-92H9MS,HELLO ZONE Rubber Dotted Back Cover for Poco F1,"tv, audio & cameras",All Electronics,4.2,"1,168",8.0,6.9
bx-92HVJL,pass pass Analogue Black Watch for Man & Women Pack-2 (Couple),accessories,Watches,3.8,9,12.0,6.6
bx-92I6DQ,Studio Shringaar Women's Polyester Sleeve Saree Blouse,women's clothing,Clothing,4.1,196,19.0,14.1
bx-92IB31,"Heron Wills Genuine Leather Men Accessories Rakhi Gift Combo for Brothers | Rakhi, Wallet, Belt, Sunglasses, Gift for Brot...",accessories,Bags & Luggage,3.8,82,34.0,11.5
bx-92J02Y,NEUTRON Branded Analog White and Black Color Dial Girls Watch - G101-(57-L-10) (Pack of 2),accessories,Watches,,,8.0,6.8
bx-92J8MJ,Li-Ning 3D Calibar X Carbon Graphite Badminton Racket with Free Full Cover,sports & fitness,Badminton,3.4,3,96.0,15.3
bx-92JPIU,FANMIS Mens Analog Digital Sports Watch Large Face Outdoor Sports Waterproof Military Wrist Watches with Date Multifunctio...,accessories,Watches,4.1,222,98.0,66.3
bx-92K9G4,FEMEO Analog New Watch for Woman & Girls (Multicolour),accessories,Watches,,,19.0,14.7
bx-92L68J,Daniel Klein Analog Black Dial Women's Watch-DK12071-6,accessories,Watches,3.7,5,47.0,12.3
